GameId,Date,AwayTeamId,HomeTeamId,AwayTeamName,HomeTeamName,AwayTeamScore,HomeTeamScore,VenueId,VenueName
2007020001,20070929,10,19,Anaheim Ducks,Los Angeles Kings,1,4,,O2 Arena
2007020002,20070930,19,10,Los Angeles Kings,Anaheim Ducks,1,4,,O2 Arena
2007020003,20071003,2,29,Montréal Canadiens,Carolina Hurricanes,3,2,,RBC Center
2007020004,20071003,10,9,Anaheim Ducks,Detroit Red Wings,2,3,5047.0,Joe Louis Arena
2007020005,20071003,27,1,Ottawa Senators,Toronto Maple Leafs,4,3,5015.0,Air Canada Centre
2007020006,20071004,22,11,Dallas Stars,Colorado Avalanche,3,4,,Pepsi Center
2007020007,20071004,21,23,Florida Panthers,New York Rangers,2,5,5054.0,Madison Square Garden
2007020008,20071004,1,27,Toronto Maple Leafs,Ottawa Senators,2,3,,Scotiabank Place
2007020009,20071004,14,12,New Jersey Devils,Tampa Bay Lightning,1,3,,St. Pete Times Forum
2007020010,20071005,11,17,Colorado Avalanche,Nashville Predators,0,4,,Sommet Center
2007020011,20071005,4,20,Chicago Blackhawks,Minnesota Wild,0,1,5098.0,Xcel Energy Center
2007020013,20071005,26,6,San Jose Sharks,Edmonton Oilers,2,3,5072.0,Rexall Place
2007020012,20071005,7,16,Philadelphia Flyers,Calgary Flames,3,2,,Pengrowth Saddledome
2007020014,20071005,18,24,St. Louis Blues,Phoenix Coyotes,2,3,,Jobing.com Arena
2007020015,20071005,15,29,Pittsburgh Penguins,Carolina Hurricanes,1,4,,RBC Center
2007020016,20071005,10,30,Anaheim Ducks,Columbus Blue Jackets,0,4,5059.0,Nationwide Arena
2007020017,20071005,28,8,New York Islanders,Buffalo Sabres,6,4,,HSBC Arena
2007020018,20071005,3,31,Washington Capitals,Atlanta Thrashers,3,1,,Philips Arena
2007020019,20071006,13,22,Boston Bruins,Dallas Stars,1,4,5019.0,American Airlines Center
2007020020,20071006,26,25,San Jose Sharks,Vancouver Canucks,3,1,,General Motors Place
2007020022,20071006,2,1,Montréal Canadiens,Toronto Maple Leafs,3,4,5015.0,Air Canada Centre
2007020023,20071006,23,27,New York Rangers,Ottawa Senators,0,2,,Scotiabank Place
2007020024,20071006,8,28,Buffalo Sabres,New York Islanders,2,3,,Nassau Veterans Memorial Coliseum
2007020025,20071006,29,3,Carolina Hurricanes,Washington Capitals,0,2,,Verizon Center
2007020026,20071006,14,21,New Jersey Devils,Florida Panthers,4,1,,BankAtlantic Center
2007020027,20071006,10,15,Anaheim Ducks,Pittsburgh Penguins,4,5,,Mellon Arena
